t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,
839000,0.7343,0.753395, 0.329121,0.270367, 333.67,180.827, 0.20302,0.16681, 0.915118,0.550451, 0.689118,0.944926, 0.666864,0.541333, 0.414538,0.783552, 0.498064,0.816997, 0.563862,0.97617, 0.894023,0.12552, 0.843373,0.423929, 0.181317,0.421262, 0.139439,0.418468, 0.418188,0.959936, 0.420729,0.498803, 0.248299,0.560308, 0.882218,0.878293, 0.185954,0.502759, -0.617033,-0.286025, 0.287985,0.855961, 0.476638,0.894349, -4571.63,-2476.24, 0.95945,0.896292, 0.97522,0.97616, 0.985146,0.217464, 0.321889,0.134002, 0.169302,0.549032, 0.135473,0.460562, 0.549914,0.49787, 2.19174,2.38901, 0.469212,0.849199, 
840000,0.734308,0.753399, 0.329122,0.270371, 334.769,181.422, 0.203021,0.166813, 0.915107,0.550453, 0.689129,0.944919, 0.666888,0.541321, 0.414531,0.783552, 0.498062,0.817, 0.563863,0.976163, 0.894022,0.125524, 0.843356,0.423945, 0.181346,0.421272, 0.139388,0.418473, 0.418189,0.959927, 0.420731,0.498807, 0.248298,0.560318, 0.882213,0.87828, 0.185958,0.502768, -0.619967,-0.289732, 0.288318,0.856377, 0.476638,0.894344, -4586.72,-2484.41, 0.959387,0.896288, 0.975199,0.976132, 0.985144,0.217468, 0.32189,0.134006, 0.169311,0.549037, 0.13548,0.46057, 0.54992,0.497873, 2.19337,2.39087, 0.469213,0.849209, 
841000,0.734317,0.753403, 0.329124,0.270375, 335.867,182.017, 0.203023,0.166816, 0.915097,0.550456, 0.689139,0.944912, 0.666913,0.541309, 0.414525,0.783552, 0.49806,0.817003, 0.563864,0.976157, 0.894021,0.125528, 0.843339,0.42396, 0.181374,0.421282, 0.139337,0.418478, 0.418191,0.959917, 0.420732,0.498812, 0.248296,0.560328, 0.882208,0.878268, 0.185962,0.502777, -0.622902,-0.293439, 0.288652,0.856793, 0.476637,0.89434, -4601.81,-2492.59, 0.959324,0.896284, 0.975178,0.976104, 0.985141,0.217472, 0.321891,0.134009, 0.169319,0.549043, 0.135487,0.460579, 0.549926,0.497877, 2.19499,2.39274, 0.469213,0.849219, 
842000,0.734326,0.753407, 0.329125,0.270379, 336.966,182.612, 0.203024,0.166819, 0.915086,0.550459, 0.689149,0.944905, 0.666937,0.541297, 0.414518,0.783552, 0.498058,0.817006, 0.563866,0.976151, 0.89402,0.125532, 0.843322,0.423976, 0.181403,0.421292, 0.139286,0.418483, 0.418193,0.959908, 0.420733,0.498817, 0.248295,0.560338, 0.882203,0.878255, 0.185966,0.502786, -0.625836,-0.297146, 0.288985,0.857209, 0.476636,0.894335, -4616.9,-2500.76, 0.95926,0.89628, 0.975157,0.976075, 0.985139,0.217476, 0.321892,0.134013, 0.169328,0.549048, 0.135494,0.460587, 0.549932,0.49788, 2.19661,2.39461, 0.469214,0.849229, 
843000,0.734334,0.753411, 0.329126,0.270383, 338.065,183.208, 0.203026,0.166822, 0.915075,0.550461, 0.68916,0.944898, 0.666961,0.541285, 0.414512,0.783553, 0.498055,0.817008, 0.563867,0.976144, 0.89402,0.125537, 0.843305,0.423991, 0.181431,0.421303, 0.139235,0.418487, 0.418194,0.959898, 0.420734,0.498821, 0.248294,0.560348, 0.882198,0.878242, 0.18597,0.502795, -0.628771,-0.300853, 0.289318,0.857626, 0.476635,0.89433, -4631.99,-2508.93, 0.959197,0.896276, 0.975135,0.976047, 0.985136,0.21748, 0.321892,0.134016, 0.169336,0.549053, 0.1355,0.460596, 0.549939,0.497884, 2.19823,2.39648, 0.469214,0.849239, 
844000,0.734343,0.753415, 0.329128,0.270387, 339.164,183.803, 0.203028,0.166825, 0.915065,0.550464, 0.68917,0.944891, 0.666986,0.541273, 0.414505,0.783553, 0.498053,0.817011, 0.563868,0.976138, 0.894019,0.125541, 0.843288,0.424007, 0.18146,0.421313, 0.139185,0.418492, 0.418196,0.959889, 0.420736,0.498826, 0.248293,0.560359, 0.882193,0.87823, 0.185974,0.502804, -0.631705,-0.30456, 0.289652,0.858042, 0.476634,0.894325, -4647.08,-2517.11, 0.959134,0.896272, 0.975114,0.976019, 0.985133,0.217484, 0.321893,0.134019, 0.169345,0.549059, 0.135507,0.460604, 0.549945,0.497887, 2.19985,2.39834, 0.469214,0.849249, 
845000,0.734352,0.753419, 0.329129,0.270391, 340.262,184.398, 0.203029,0.166828, 0.915054,0.550466, 0.689181,0.944884, 0.66701,0.54126, 0.414499,0.783553, 0.498051,0.817014, 0.563869,0.976132, 0.894018,0.125545, 0.843271,0.424023, 0.181488,0.421323, 0.139134,0.418497, 0.418197,0.959879, 0.420737,0.498831, 0.248291,0.560369, 0.882187,0.878217, 0.185978,0.502813, -0.63464,-0.308267, 0.289985,0.858458, 0.476634,0.894321, -4662.17,-2525.28, 0.95907,0.896268, 0.975093,0.975991, 0.985131,0.217488, 0.321894,0.134023, 0.169353,0.549064, 0.135514,0.460613, 0.549951,0.49789, 2.20148,2.40021, 0.469215,0.849259, 
846000,0.734361,0.753423, 0.32913,0.270395, 341.361,184.993, 0.203031,0.166831, 0.915043,0.550469, 0.689191,0.944877, 0.667034,0.541248, 0.414492,0.783553, 0.498048,0.817017, 0.563871,0.976125, 0.894017,0.125549, 0.843254,0.424038, 0.181517,0.421333, 0.139083,0.418502, 0.418199,0.95987, 0.420738,0.498835, 0.24829,0.560379, 0.882182,0.878205, 0.185982,0.502822, -0.637575,-0.311974, 0.290318,0.858874, 0.476633,0.894316, -4677.26,-2533.46, 0.959006,0.896264, 0.975071,0.975962, 0.985128,0.217492, 0.321895,0.134026, 0.169362,0.549069, 0.135521,0.460621, 0.549957,0.497894, 2.2031,2.40208, 0.469215,0.849269, 
847000,0.734369,0.753428, 0.329132,0.270399, 342.46,185.588, 0.203033,0.166834, 0.915033,0.550472, 0.689202,0.94487, 0.667058,0.541236, 0.414486,0.783554, 0.498046,0.817019, 0.563872,0.976119, 0.894016,0.125554, 0.843237,0.424054, 0.181545,0.421344, 0.139032,0.418507, 0.418201,0.95986, 0.42074,0.49884, 0.248289,0.560389, 0.882177,0.878192, 0.185986,0.502831, -0.640509,-0.315681, 0.290652,0.85929, 0.476632,0.894311, -4692.35,-2541.63, 0.958943,0.89626, 0.97505,0.975934, 0.985126,0.217495, 0.321895,0.13403, 0.16937,0.549074, 0.135527,0.46063, 0.549963,0.497897, 2.20472,2.40394, 0.469216,0.849279, 
848000,0.734378,0.753432, 0.329133,0.270403, 343.559,186.183, 0.203034,0.166836, 0.915022,0.550474, 0.689212,0.944863, 0.667083,0.541224, 0.414479,0.783554, 0.498044,0.817022, 0.563873,0.976113, 0.894015,0.125558, 0.84322,0.42407, 0.181574,0.421354, 0.138981,0.418512, 0.418202,0.959851, 0.420741,0.498845, 0.248287,0.560399, 0.882172,0.87818, 0.18599,0.50284, -0.643444,-0.319387, 0.290985,0.859706, 0.476631,0.894307, -4707.44,-2549.8, 0.958879,0.896256, 0.975029,0.975905, 0.985123,0.217499, 0.321896,0.134033, 0.169379,0.54908, 0.135534,0.460638, 0.549969,0.497901, 2.20634,2.40581, 0.469216,0.849289, 
