t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,
0,0.730729,0.7525, 0.328374,0.268562, 0.740438,0.48961, 0.202213,0.16548, 0.920914,0.549865, 0.684757,0.948, 0.653137,0.54891, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852985,0.41568, 0.165416,0.41654, 0.168646,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.888888,0.88888, 0.184156,0.49865, 0.165148,0.70297, 0.198546,0.74516, 0.476548,0.89645, 0.789465,0.47168, 0.984652,0.89734, 0.984155,0.98789, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.894557,0.895454, 0.468555,0.84551, 
1000,0.730729,0.7525, 0.328374,0.268562, 0.740438,0.48961, 0.202213,0.16548, 0.920914,0.549865, 0.684757,0.948, 0.653137,0.54891, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852985,0.41568, 0.165416,0.41654, 0.168646,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.888888,0.88888, 0.184156,0.49865, 0.165148,0.70297, 0.198546,0.74516, 0.476548,0.89645, 0.789464,0.47168, 0.984652,0.89734, 0.984155,0.98789, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.894546,0.895441, 0.468555,0.84551, 
2000,0.730729,0.7525, 0.328374,0.268562, 0.740438,0.48961, 0.202213,0.16548, 0.920914,0.549865, 0.684757,0.948, 0.653137,0.54891, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852985,0.41568, 0.165416,0.41654, 0.168646,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.888888,0.88888, 0.184156,0.49865, 0.165149,0.702971, 0.198546,0.74516, 0.476548,0.89645, 0.789464,0.47168, 0.984652,0.89734, 0.984155,0.98789, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.89453,0.895423, 0.468555,0.84551, 
3000,0.730729,0.7525, 0.328374,0.268562, 0.740438,0.48961, 0.202213,0.16548, 0.920914,0.549865, 0.684757,0.948, 0.653137,0.54891, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852985,0.41568, 0.165416,0.41654, 0.168646,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.888888,0.88888, 0.184156,0.49865, 0.165149,0.702971, 0.198546,0.74516, 0.476548,0.89645, 0.789463,0.471681, 0.984651,0.89734, 0.984155,0.98789, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.894508,0.895398, 0.468555,0.84551, 
4000,0.730729,0.7525, 0.328374,0.268562, 0.740438,0.48961, 0.202213,0.16548, 0.920914,0.549865, 0.684757,0.948, 0.653138,0.54891, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852985,0.41568, 0.165416,0.41654, 0.168646,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.888889,0.888881, 0.184156,0.49865, 0.16515,0.702972, 0.198546,0.74516, 0.476548,0.89645, 0.789462,0.471681, 0.984651,0.89734, 0.984155,0.987889, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.894481,0.895366, 0.468555,0.84551, 
5000,0.730729,0.7525, 0.328374,0.268562, 0.740438,0.48961, 0.202213,0.16548, 0.920914,0.549865, 0.684757,0.948, 0.653138,0.548909, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852984,0.415681, 0.165416,0.41654, 0.168646,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.888889,0.888881, 0.184156,0.49865, 0.165151,0.702973, 0.198546,0.74516, 0.476548,0.89645, 0.789461,0.471682, 0.984651,0.89734, 0.984154,0.987889, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.894449,0.895329, 0.468555,0.84551, 
6000,0.730729,0.7525, 0.328374,0.268562, 0.740438,0.48961, 0.202213,0.16548, 0.920913,0.549865, 0.684757,0.948, 0.653138,0.548909, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852984,0.415681, 0.165416,0.41654, 0.168645,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.888889,0.888881, 0.184156,0.49865, 0.165151,0.702974, 0.198546,0.745159, 0.476548,0.89645, 0.78946,0.471682, 0.98465,0.89734, 0.984154,0.987889, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.894411,0.895284, 0.468555,0.84551, 
7000,0.730729,0.7525, 0.328374,0.268562, 0.740439,0.48961, 0.202213,0.16548, 0.920913,0.549865, 0.684757,0.948, 0.653139,0.548909, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852984,0.415681, 0.165417,0.41654, 0.168645,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.55555, 0.88889,0.888882, 0.184156,0.49865, 0.165152,0.702975, 0.198546,0.745159, 0.476548,0.89645, 0.789458,0.471683, 0.984649,0.89734, 0.984154,0.987889, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546135,0.49651, 0.894367,0.895234, 0.468555,0.84551, 
8000,0.730729,0.7525, 0.328374,0.268563, 0.740439,0.48961, 0.202213,0.16548, 0.920913,0.549865, 0.684758,0.948, 0.653139,0.548909, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852984,0.415681, 0.165417,0.416541, 0.168645,0.41674, 0.417097,0.96375, 0.419845,0.49685, 0.248955,0.555551, 0.88889,0.888882, 0.184156,0.498651, 0.165153,0.702977, 0.198546,0.745159, 0.476548,0.89645, 0.789456,0.471683, 0.984649,0.89734, 0.984154,0.987888, 0.986455,0.21556, 0.321456,0.13245, 0.165563,0.54616, 0.132456,0.45678, 0.546136,0.49651, 0.894318,0.895176, 0.468555,0.84551, 
9000,0.73073,0.7525, 0.328374,0.268563, 0.740439,0.48961, 0.202213,0.16548, 0.920913,0.549865, 0.684758,0.948, 0.653139,0.548909, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.97894, 0.894526,0.12345, 0.852983,0.415681, 0.165417,0.416541, 0.168645,0.416741, 0.417097,0.963749, 0.419845,0.49685, 0.248955,0.555551, 0.88889,0.888882, 0.184156,0.498651, 0.165155,0.702978, 0.198545,0.745159, 0.476548,0.89645, 0.789454,0.471684, 0.984648,0.89734, 0.984154,0.987888, 0.986455,0.21556, 0.321456,0.13245, 0.165564,0.54616, 0.132456,0.456781, 0.546136,0.49651, 0.894262,0.895112, 0.468555,0.845511, 
10000,0.73073,0.7525, 0.328374,0.268563, 0.740439,0.48961, 0.202213,0.16548, 0.920913,0.549865, 0.684758,0.947999, 0.65314,0.548908, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.978939, 0.894526,0.12345, 0.852983,0.415682, 0.165417,0.416541, 0.168645,0.416741, 0.417097,0.963749, 0.419845,0.49685, 0.248955,0.555551, 0.888891,0.888883, 0.184156,0.498651, 0.165156,0.70298, 0.198545,0.745159, 0.476548,0.89645, 0.789452,0.471685, 0.984647,0.89734, 0.984153,0.987888, 0.986455,0.21556, 0.321456,0.13245, 0.165564,0.546161, 0.132457,0.456781, 0.546136,0.49651, 0.894201,0.895041, 0.468555,0.845511, 
11000,0.73073,0.7525, 0.328374,0.268563, 0.740439,0.48961, 0.202213,0.16548, 0.920913,0.549865, 0.684758,0.947999, 0.65314,0.548908, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.978939, 0.894526,0.12345, 0.852983,0.415682, 0.165417,0.416541, 0.168644,0.416741, 0.417097,0.963749, 0.419845,0.49685, 0.248955,0.555551, 0.888891,0.888883, 0.184156,0.498651, 0.165157,0.702981, 0.198545,0.745159, 0.476548,0.89645, 0.78945,0.471686, 0.984647,0.89734, 0.984153,0.987887, 0.986455,0.21556, 0.321456,0.13245, 0.165564,0.546161, 0.132457,0.456781, 0.546136,0.49651, 0.894134,0.894962, 0.468555,0.845511, 
12000,0.73073,0.7525, 0.328374,0.268563, 0.740439,0.48961, 0.202213,0.16548, 0.920912,0.549865, 0.684758,0.947999, 0.653141,0.548908, 0.416513,0.78412, 0.498618,0.81623, 0.563156,0.978939, 0.894526,0.123451, 0.852982,0.415682, 0.165418,0.416541, 0.168644,0.416741, 0.417097,0.963749, 0.419845,0.496851, 0.248955,0.555551, 0.888892,0.888884, 0.184156,0.498651, 0.165159,0.702983, 0.198545,0.745158, 0.476548,0.896449, 0.789447,0.471687, 0.984646,0.89734, 0.984153,0.987887, 0.986455,0.215561, 0.321456,0.13245, 0.165564,0.546161, 0.132457,0.456781, 0.546136,0.49651, 0.89406,0.894877, 0.468555,0.845511, 
13000,0.73073,0.7525, 0.328374,0.268563, 0.740439,0.48961, 0.202213,0.16548, 0.920912,0.549865, 0.684758,0.947999, 0.653142,0.548907, 0.416512,0.78412, 0.498618,0.81623, 0.563156,0.978939, 0.894526,0.123451, 0.852982,0.415683, 0.165418,0.416541, 0.168644,0.416741, 0.417097,0.963749, 0.419845,0.496851, 0.248955,0.555551, 0.888893,0.888885, 0.184157,0.498651, 0.165161,0.702985, 0.198545,0.745158, 0.476548,0.896449, 0.789445,0.471688, 0.984645,0.89734, 0.984152,0.987886, 0.986455,0.215561, 0.321456,0.13245, 0.165564,0.546161, 0.132457,0.456781, 0.546136,0.49651, 0.89398,0.894784, 0.468555,0.845511, 
14000,0.73073,0.7525, 0.328374,0.268563, 0.74044,0.48961, 0.202213,0.16548, 0.920912,0.549865, 0.684758,0.947999, 0.653142,0.548907, 0.416512,0.78412, 0.498618,0.81623, 0.563156,0.978939, 0.894526,0.123451, 0.852981,0.415683, 0.165418,0.416541, 0.168643,0.416741, 0.417097,0.963749, 0.419845,0.496851, 0.248955,0.555552, 0.888893,0.888885, 0.184157,0.498651, 0.165162,0.702988, 0.198545,0.745158, 0.476548,0.896449, 0.789442,0.471689, 0.984644,0.89734, 0.984152,0.987886, 0.986455,0.215561, 0.321456,0.132451, 0.165564,0.546161, 0.132457,0.456781, 0.546137,0.49651, 0.893893,0.894683, 0.468555,0.845511, 
15000,0.73073,0.7525, 0.328374,0.268563, 0.74044,0.48961, 0.202213,0.165481, 0.920911,0.549865, 0.684759,0.947999, 0.653143,0.548907, 0.416512,0.78412, 0.498618,0.81623, 0.563156,0.978939, 0.894526,0.123451, 0.852981,0.415684, 0.165418,0.416542, 0.168643,0.416741, 0.417097,0.963749, 0.419845,0.496851, 0.248955,0.555552, 0.888894,0.888886, 0.184157,0.498652, 0.165164,0.70299, 0.198545,0.745158, 0.476548,0.896449, 0.789438,0.47169, 0.984642,0.89734, 0.984152,0.987885, 0.986454,0.215561, 0.321456,0.132451, 0.165564,0.546161, 0.132457,0.456781, 0.546137,0.496511, 0.893799,0.894574, 0.468555,0.845511, 
16000,0.73073,0.7525, 0.328374,0.268563, 0.74044,0.48961, 0.202213,0.165481, 0.920911,0.549865, 0.684759,0.947999, 0.653144,0.548906, 0.416512,0.78412, 0.498618,0.81623, 0.563156,0.978939, 0.894526,0.123451, 0.85298,0.415684, 0.165419,0.416542, 0.168643,0.416741, 0.417098,0.963748, 0.419845,0.496851, 0.248955,0.555552, 0.888895,0.888887, 0.184157,0.498652, 0.165166,0.702992, 0.198545,0.745157, 0.476548,0.896449, 0.789435,0.471692, 0.984641,0.89734, 0.984151,0.987885, 0.986454,0.215561, 0.321456,0.132451, 0.165565,0.546161, 0.132457,0.456782, 0.546137,0.496511, 0.893698,0.894457, 0.468555,0.845511, 
